board,decision
 XX OO  X,4
         ,3
OXOXX OOX,6
XOXOXO   ,7
  X  O   ,5
OXXX  OXO,5
 X     O ,7
X   O    ,4
OXX   XOO,5
         ,8
XO O XXO ,5
      X O,5
  O  XO X,1
X OOXOXX ,9
         ,9
O X    XO,5
O  O   XX,7
      X  ,1
 O  XXXOO,3
 OXO  X X,6
     X   ,7
XO  X O  ,9
 XOX  X O,6
 X OO X  ,6
X OXOO XX,7
    O X  ,9
  X   OX ,9
XO OO  XX,7
  X      ,7
 O X  X O,1
     XO  ,3
 X O O  X,5
         ,5
 OOXX X  ,1
 X  O    ,1
O XO XX  ,9
  OXOX X ,7
         ,2
 X O     ,1
  X O  X ,9
O OXX   X,2
OXX   XOO,5
    X    ,8
   X    O,7
 X    XO ,1
XXO XOXO ,9
 X O X  O,1
      X  ,8
X X OO  X,4
         ,7
         ,4
XXO    OX,5
    X OX ,2
OXXX OOXO,5
 O  X    ,3
XO XXO O ,9
OX OX XOX,6
X  OX OXO,2
  XX O   ,1
 X O X   ,5
    X    ,3
X        ,4
X OOOXX X,2
XO XO  X ,7
   O X   ,5
XX  OOOXX,4
XOO XOXX ,9
X        ,5
  XX OO X,8
      X  ,5
   X     ,5
X O      ,7
         ,7
XOXOXXOO ,9
O   X OX ,2
XOO  X   ,5
O X   XO ,5
     X   ,3
O XO OXX ,5
 X  X  O ,3
XXOOOX XO,7
         ,1
 O XX OXO,6
O  X   OX,2
   O O XX,7
XX XOX OO,7
  O X OXX,2
    OX   ,7
X        ,9
  XXOOOX ,1
         ,1
XX O OXO ,3
X  O XOOX,3
O X      ,8
OXOXOX OX,7
   X     ,9
O       X,3
 OX X   O,7
XOOO   XX,5
OOXXXOOX ,9
         ,4
X   X O O,8
    XXO O,4
  XXO  O ,2
     X OX,5
  O     X,2
         ,7
X OX X  O,5
 XXOO XOX,6
OO X  X X,3
         ,2
X XO  XO ,5
 X  OX  O,1
  OX     ,5
   X X  O,1
  OXXO   ,9
O OXO XX ,9
      X  ,3
 X  O  XO,3
XO   XO  ,8
         ,2
O  XXOXO ,3
XO XX O O,6
XXOOOX X ,7
XOO OXX X,8
    X    ,2
OX X OOX ,5
XO XXOOXO,3
O XXX O  ,6
OXX O XO ,9
X        ,2
X       O,3
     XO  ,9
O X      ,5
      X  ,5
  O X    ,9
   X X OO,5
 O  X X O,3
 XXO OX O,1
 XO    X ,5
X  X O   ,9
         ,7
X  O  O X,5
      O X,4
         ,5
      X  ,9
  O XXO  ,4
 XO  X XO,5
  XO     ,7
  X  O X ,5
    XX O ,7
 OXXX OXO,6
OXXO  X O,5
 O XO   X,8
   X  O  ,5
   X XOO ,5
         ,5
  OO XXX ,9
OOX X  X ,7
XOO XXX O,8
O XO OX X,5
X   X O  ,9
 OO XX OX,4
  XXO O  ,2
O   XXOX ,4
    X    ,9
XO XXOOX ,3
XOO XXOXO,4
        X,5
X  XOXOOX,3
O  XOX OX,3
 X       ,7
X XOOX O ,9
XO O OX X,8
X X   O  ,4
         ,1
 OXO X XO,7
XO XOXOX ,3
  O X  XO,2
     X O ,2
  X      ,5
  X  OO X,5
 X     O ,6
 OOO XX X,8
   XO X  ,1
 OX      ,8
         ,1
X    OXO ,4
X    O   ,3
X        ,2
XO O    X,5
XOX   OOX,6
 X       ,7
OXXO O XX,5
   O X X ,5
  X  OXO ,5
     X   ,1
 O X X O ,5
         ,5
         ,7
         ,9
         ,1
OX  XXO  ,4
OO  XX X ,3
 XO  X  O,5
  X XX OO,7
XO  XO X ,9
O OOXXXOX,2
OX X  X O,5
OX OX    ,8
    X    ,9
O X X OX ,4
XOOXX    ,6
   X  XO ,1
     OX  ,4
X  O     ,3
 O    X  ,9
      X  ,3
  OXX  O ,6
  O  X   ,8
  OO XX X,8
X   X O O,8
         ,5
XOXX  O O,8
    XO   ,9
XX   O O ,3
O XO    X,6
 X O     ,5
      X  ,3
   O X   ,7
OXOX X  O,5
 OO XX   ,4
OOX XXOXO,4
 X  X   O,8
