board,decision
XO OXXOX ,9
 XXX OOXO,1
   OX    ,3
X XO X OO,2
  XO   X ,1
O O   X X,8
         ,8
X        ,9
X        ,2
OX       ,6
 XOXOX XO,1
XX OX OO ,3
OXXX  OO ,9
  X  X O ,9
X        ,8
     X   ,8
         ,9
   XX O  ,6
OOXOX   X,6
 XOXO XOX,1
X OXX OXO,6
         ,4
O XXO O X,6
         ,9
  OOOXXX ,9
      XOX,1
 OOXX XXO,1
      X  ,3
         ,4
 X       ,8
  O  X   ,1
  O   XXO,6
OX XO    ,9
XOX  XOXO,5
 OOXX XOX,1
XXOO  X  ,6
 X      O,8
X   X O  ,9
         ,2
XXO  OXOX,4
XXOOO XX ,6
         ,1
OO OXXXXO,3
         ,1
      X  ,8
 OOXXOXX ,1
      X  ,5
  OOX   X,1
XO OX OX ,9
O X XO   ,7
XXOX XOO ,5
OOX XX  O,4
 X   XOO ,9
     X  O,2
OOXOX   X,6
OXXX OXOO,5
 X  OX O ,4
XO    X O,4
X        ,8
OO X  X  ,3
   XXOX O,3
 OO X  XX,1
  O X    ,8
  OOX  XX,1
OX OX    ,8
XO XOXO X,3
XX  X OO ,9
O OXX X O,6
 X     O ,4
        X,4
XO    X O,4
OO  X X X,3
X   O    ,4
 O  X    ,8
  O  XX  ,9
     X   ,9
X  O     ,5
XO OOXXXO,3
         ,2
   X     ,8
   XXO  O,3
XX  OXOO ,3
 X       ,9
   X  O  ,6
         ,6
X X O    ,2
XOX XXOO ,9
         ,4
XO  XO   ,9
OX       ,6
     X   ,1
  X  O  X,2
    X O X,1
        X,3
 X       ,9
OXOX X XO,5
OXOXX   O,6
        X,7
         ,8
    X    ,1
 X OX   O,8
XOX XX OO,7
    X    ,6
 O  X  OX,1
         ,1
XX O  X O,3
         ,3
   XOXXOO,1
 O XO X  ,1
  X  O   ,5
OOXOXO XX,7
OO XOXOXX,3
O X  XX O,5
  O OXXX ,9
      OX ,5
XX OO   X,6
  XOO X  ,6
O   O XX ,9
 X X OOOX,5
OX XXOX O,3
 X OXOXOX,1
         ,1
XOX O O X,6
  XOOXX  ,9
 OOX   XX,1
O  X  XXO,5
XXOXOO OX,7
XOXXX O O,8
  O    XX,7
X XO XOXO,2
 X  OX   ,4
X O OX X ,7
  XXOOXOX,2
         ,6
   O  XXO,1
         ,6
X XXOO O ,2
OXOX XX O,5
O O XXX O,4
         ,1
         ,3
X O  XXO ,4
X O      ,4
O  OX XXO,2
         ,3
X  O     ,6
XOOOXXX O,8
XXO XXOO ,9
  X     O,8
OO X XX  ,3
     XO  ,2
  XXOOXXO,1
XO  O OXX,3
   XO    ,1
 XXO  OX ,1
 OX     X,6
 X XO    ,3
         ,1
  OX XOXO,5
 X   OO X,3
O  O XX X,3
    XXOO ,4
 O OXX  X,1
O    OXX ,9
 XXO  X O,1
   X  O  ,9
OX X O XO,5
O  XXO   ,8
X        ,3
O     XX ,9
         ,8
         ,9
XXO  OOXX,5
     X   ,2
OX XXOO X,8
XXO   OOX,5
OOXXXO XO,7
XO O    X,5
  X XO O ,7
X    X  O,7
       X ,3
 O   O XX,7
  XOOX   ,9
X  O     ,7
  O   X  ,2
XX O     ,3
 O  X X O,3
X    OX  ,4
X  XO O X,3
  O  X   ,9
X O X    ,9
        X,2
 X OO  XX,6
XX    O  ,3
    X    ,1
 X       ,3
X  O  XOX,5
OOX   X X,5
X     XOO,4
O XXX  OO,6
    OX  X,3
X XOX   O,2
  X X O  ,4
OXXO    X,7
X   X O  ,9
         ,3
XXOX  O  ,5
  X  X O ,9
 X OOXXXO,1
  O  O XX,7
    X   O,2
 X  O    ,1
OO  XX X ,3
         ,1
XX OXOX O,3
O X      ,8
 O    X  ,8
 OX O  X ,7
  X    O ,1
         ,6
         ,4
  OXX O  ,6
   XXOOX ,2
OX OOXXOX,3
 X      O,3
      X  ,4
O XX  O X,6
         ,2
O    XX  ,8
         ,3
         ,6
    O  X ,9
  XOX OX ,1
 X X O O ,5
OX  XX O ,4
         ,6
    OX X ,2
 X  XX OO,7
X XO O X ,5
 O   X OX,3
   X     ,7
O OXO X X,8
 X O  X O,1
X       O,2
O   X   X,6
 OX X    ,7
O    X   ,9
   X  XOO,1
         ,5
         ,7
  O XXOOX,1
 X O OXOX,5
O OOXXX  ,2
      OXX,4
         ,8
         ,5
XOOOXX XO,7
         ,6
    OXO X,3
   X OX  ,1
XXOX O OX,5
    X   O,6
   XO   X,6
         ,3
 XXOO OX ,1
   X     ,8
X X O XO ,2
 XO X  O ,9
         ,4
         ,4
  XOO  XX,6
XOOOOX XX,7
X    XOXO,3
 OXXXOO  ,1
  O X   X,1
   X   OX,6
XXOO  X  ,8
         ,6
 O  X    ,4
