board,decision
   O  X  ,9
 XO X   O,8
X        ,5
O   XXO X,4
  XXO O  ,1
 X X  OXO,5
         ,9
  OO X X ,7
  X      ,5
 X       ,5
  O  X X ,5
 O XOOX X,1
OXX XOO X,4
         ,7
X  O XXOO,7
OO XXOXOX,3
  O X    ,3
OX X O  X,1
OO  XXOX ,4
  X   O  ,5
X        ,5
   O X OX,3
XX  O  OX,3
OXOX  XO ,5
OOXX   X ,9
 X   O   ,3
   X     ,5
        X,5
OX X  O  ,3
  OOXO XX,1
         ,3
         ,7
O OO XXX ,9
OXOOXX  X,7
  X X O  ,1
X X  O  O,2
         ,1
  X  XOO ,9
X XOXO XO,2
 X       ,5
XOX    XO,3
XOXOOX X ,9
X  X OOXO,3
     XO  ,7
   X    O,9
XO  OO XX,7
XOX   X O,4
 X OOXXO ,3
 X  O OXX,3
X      OX,5
    X    ,5
XOOOXX XO,5
X XOXO O ,2
X  XXOO  ,9
X OXOX O ,7
 O X   X ,1
 OXOX   X,1
OOX X    ,7
OOX     X,6
        X,5
     O XX,7
O XX X  O,5
XXOO XO X,5
O     X  ,5
 XXXO O O,1
 O X OX  ,1
O   O XX ,9
O    XO X,3
 OX  X XO,7
   X   O ,3
 OO XO XX,1
X    O   ,1
      O X,9
O  XX OOX,6
XOO XXO  ,4
      X  ,5
  XX    O,7
  X    XO,5
         ,5
         ,1
  O   XXO,6
   X   O ,9
X O X OXO,2
O  X O X ,5
 OXX   O ,5
 X      O,5
 XXXXOOO ,9
 X   O   ,5
 X O   OX,9
       X ,5
 X XO OX ,3
         ,9
  O     X,1
X OOX  X ,2
X O X O  ,9
 X X OOXO,5
         ,9
  XX OXOO,1
OX O  XX ,5
 XXOO OXX,1
  OOXX OX,1
OOX  XOX ,9
XX  OO  X,4
        X,5
 X       ,5
 OOX X   ,5
O XX     ,1
         ,9
         ,7
XOOOXOXX ,9
XOO  OXX ,4
O OOXXX X,2
O XOOXXX ,9
  O   X  ,9
O OXX  OX,6
XX  OOX  ,4
       X ,5
 XO XX  O,4
XO O XOX ,5
XO   X   ,7
    X    ,5
X O    X ,3
XXOO  OXX,5
         ,9
O XO   XX,7
 X  X O O,8
         ,3
OOX XX O ,4
XO XOXOXO,3
     X   ,5
        X,5
 OOXX X O,1
        X,5
OX   XOOX,3
     X   ,5
      O X,3
 XOOX  OX,1
 XOXOO XX,7
X        ,5
  X    OX,6
 O X OXX ,1
 X       ,5
  X  O  X,1
     X   ,5
 OOX X   ,5
 X O  XO ,9
O   XXOOX,3
O  OX X  ,3
   X     ,5
O      X ,3
         ,3
         ,5
O    XX  ,1
O O X X  ,2
X O    X ,3
  X  XO O,8
   OX  X ,2
XX   OOOX,3
OO   X X ,3
XO X    O,7
 O   X   ,3
 O OX   X,1
 XO  X   ,5
OX X XXOO,5
       OX,1
  X      ,5
 X   OOX ,5
O X XXO  ,4
XOOXXOOX ,9
XXOO     ,5
         ,5
OX XXOXOO,3
OXX XXOO ,4
OXO OXXOX,4
X  X    O,7
O O OXX X,8
XOXO OX  ,5
O XXOOXOX,2
         ,3
O OX X OX,5
 XX XOO  ,1
XOOOXOXX ,9
        X,5
X O      ,7
X  OO XX ,6
O OX X OX,5
 X X X OO,7
 X XOXOOX,3
OOXOXX XO,7
  O O  XX,7
      X  ,5
X OXXO   ,9
O O XXX  ,2
     X OX,3
 OXOXOOXX,1
 X   O   ,5
  OX  XOX,1
 XO      ,7
XXOOO XXO,6
OXXX  XOO,5
OO XX  OX,6
    X    ,5
  XO X   ,9
    X    ,5
O XXOX O ,9
XOX   OXO,4
         ,3
XXOOO X X,6
  OOXXXOX,1
XX  XOOO ,3
  OO X X ,3
  X  OXOX,5
   X XO  ,5
         ,9
  O    X ,3
 O   X   ,7
  X      ,5
         ,9
 XO O XOX,7
 XOOXOXOX,1
XO    O X,5
XX  O XOO,3
O  X     ,1
   X O   ,5
  X OX XO,1
OXOO X  X,7
       X ,5
    X    ,5
 O   OXX ,9
     X   ,5
X    OXO ,4
 XO   OXX,5
OX   X OX,3
         ,3
 OXO    X,6
X   O  X ,5
OXX X OO ,4
XX OXXOO ,9
  XO   X ,1
         ,7
XOX     O,1
X        ,5
OXOXX X O,6
 X       ,5
 OXXOOX X,8
  OO X X ,1
XOXX O  O,7
XOXXOX  O,8
   XO   X,3
OOXXOXX  ,8
  XOXOOX ,2
XO OX  XO,3
OO  OXXX ,9
XOX  O OX,5
  X   O  ,3
       X ,5
   XXO   ,7
  X      ,5
X        ,5
OX      X,5
O X  X   ,9
   X O   ,5
 X O X XO,5
X OOOXXXO,2
O OX   X ,2
OO XX X  ,3
  X    O ,7
    X   O,1
    XOXO ,3
 O  OXOXX,3
OOXXO XX ,9
 X OX X O,3
